Nombre total de vélos,Adr_emplacement,latitude,longitude,geo_shape,geo_point_2d
16,60 RUE DE PICPUS Paris 12,48.89445753990611,2.3220972612220097,"{""coordinates"": [2.3969718707967824, 48.84324539323871], ""type"": ""Point""}","48.84324539323871, 2.3969718707967824"
10,206 AV DAUMESNIL Paris 12,48.83567996693656,2.370540770280761,"{""coordinates"": [2.3993935744985015, 48.838020891612246], ""type"": ""Point""}","48.838020891612246, 2.3993935744985015"
10,7 AV DE CORBERA Paris 12,48.86485708963566,2.3691280993469617,"{""coordinates"": [2.3821704109242825, 48.84586639706246], ""type"": ""Point""}","48.84586639706246, 2.3821704109242825"
10,8 AV LEDRU-ROLLIN Paris 12,48.85594895556864,2.3464604870106385,"{""coordinates"": [2.368196690076484, 48.84612064705893], ""type"": ""Point""}","48.84612064705893, 2.368196690076484"
10,1 RUE DE WATTIGNIES Paris 12,48.87998869577333,2.350977756185022,"{""coordinates"": [2.391884921630588, 48.83699530918363], ""type"": ""Point""}","48.83699530918363, 2.391884921630588"
11,80 RUE TRAVERSIERE Paris 12,48.853530510712595,2.3508002653367392,"{""coordinates"": [2.376065963037736, 48.85109091464033], ""type"": ""Point""}","48.85109091464033, 2.376065963037736"
4,20 RUE ABEL Paris 12,48.86576884945893,2.3309628436219185,"{""coordinates"": [2.3759577334845305, 48.84821641579028], ""type"": ""Point""}","48.84821641579028, 2.3759577334845305"
8,32 RUE DE LA LANCETTE Paris 12,48.830712160772386,2.3654172818324555,"{""coordinates"": [2.3943910178836436, 48.83669275735288], ""type"": ""Point""}","48.83669275735288, 2.3943910178836436"
10,26 RUE DUGOMMIER Paris 12,48.88670638183827,2.3926592564351026,"{""coordinates"": [2.3923302435278475, 48.84022791896275], ""type"": ""Point""}","48.84022791896275, 2.3923302435278475"
7,135 BD DIDEROT Paris 12,48.847230000860186,2.309876685614815,"{""coordinates"": [2.3932102105433386, 48.84812555913022], ""type"": ""Point""}","48.84812555913022, 2.3932102105433386"
8,114 CRS DE VINCENNES Paris 12,48.89124049563816,2.3277504913251335,"{""coordinates"": [2.4101994345123443, 48.84683399505445], ""type"": ""Point""}","48.84683399505445, 2.4101994345123443"
5,14 RUE D' ALIGRE Paris 12,48.85798031267191,2.3636208668082763,"{""coordinates"": [2.3777686039249737, 48.84847915810819], ""type"": ""Point""}","48.84847915810819, 2.3777686039249737"
6,31 RUE VILLIOT Paris 12,48.889538599586395,2.3407217477360893,"{""coordinates"": [2.3759662740546768, 48.84195734751724], ""type"": ""Point""}","48.84195734751724, 2.3759662740546768"
4,11 RUE DU SAHEL Paris 12,48.86498722413296,2.2895073298150743,"{""coordinates"": [2.402501700472857, 48.841099551126256], ""type"": ""Point""}","48.841099551126256, 2.402501700472857"
8,114 CRS DE VINCENNES Paris 12,48.81987507516356,2.3547565822896366,"{""coordinates"": [2.410126414503421, 48.84684038290721], ""type"": ""Point""}","48.84684038290721, 2.410126414503421"
10,2 RUE AUDUBON Paris 12,48.873358466826154,2.413347683850229,"{""coordinates"": [2.3696966881695936, 48.8456494827353], ""type"": ""Point""}","48.8456494827353, 2.3696966881695936"
14,22 RUE DE MONTEMPOIVRE Paris 12,48.840540025709984,2.3086623101887143,"{""coordinates"": [2.407644814418296, 48.84034204019769], ""type"": ""Point""}","48.84034204019769, 2.407644814418296"
18,7 RUE CHANGARNIER Paris 12,48.859205459159405,2.4097791916964804,"{""coordinates"": [2.412179528723364, 48.84521248137384], ""type"": ""Point""}","48.84521248137384, 2.412179528723364"
2,2 RUE DE CITEAUX Paris 12,48.877221634752146,2.344563611163631,"{""coordinates"": [2.379850117289901, 48.84676801907568], ""type"": ""Point""}","48.84676801907568, 2.379850117289901"
5,160 RUE DE PICPUS Paris 12,48.88251754590107,2.3102692352007064,"{""coordinates"": [2.403807215331117, 48.835004681150835], ""type"": ""Point""}","48.835004681150835, 2.403807215331117"
8,123 RUE DE PICPUS Paris 12,48.837029529322514,2.3025711148041594,"{""coordinates"": [2.4016309386296304, 48.838208307549955], ""type"": ""Point""}","48.838208307549955, 2.4016309386296304"
2,9 RUE JACQUES HILLAIRET Paris 12,48.86394579795744,2.335678106239903,"{""coordinates"": [2.3872360685826783, 48.84258812701765], ""type"": ""Point""}","48.84258812701765, 2.3872360685826783"
4,79 BD DE PICPUS Paris 12,48.88567060716489,2.335220556404643,"{""coordinates"": [2.398378895756227, 48.84731941543915], ""type"": ""Point""}","48.84731941543915, 2.398378895756227"
12,87 AV DU GENERAL MICHEL BIZOT Paris 12,48.865335798008495,2.352588155227755,"{""coordinates"": [2.4037649968693824, 48.83773459371703], ""type"": ""Point""}","48.83773459371703, 2.4037649968693824"
24,86 RUE DE CHARENTON Paris 12,48.8470603090638,2.3955961106253274,"{""coordinates"": [2.375761349333603, 48.848524148198294], ""type"": ""Point""}","48.848524148198294, 2.375761349333603"
2,113 RUE DE REUILLY Paris 12,48.884725766391185,2.3925157537313955,"{""coordinates"": [2.3930871785227996, 48.841957240512265], ""type"": ""Point""}","48.841957240512265, 2.3930871785227996"
10,315 RUE DE CHARENTON Paris 12,48.83921996665016,2.291541085439311,"{""coordinates"": [2.394983352225502, 48.833472166620865], ""type"": ""Point""}","48.833472166620865, 2.394983352225502"
12,342 RUE DE CHARENTON Paris 12,48.83604531239335,2.3477887322233775,"{""coordinates"": [2.397172671955278, 48.83217246570264], ""type"": ""Point""}","48.83217246570264, 2.397172671955278"
5,95 RUE DE REUILLY Paris 12,48.82115630921001,2.367617897907805,"{""coordinates"": [2.3904267190566766, 48.84414231885208], ""type"": ""Point""}","48.84414231885208, 2.3904267190566766"
11,72 RUE CROZATIER Paris 12,48.87539516652075,2.367482835168426,"{""coordinates"": [2.3791929163028898, 48.85004460088991], ""type"": ""Point""}","48.85004460088991, 2.3791929163028898"
12,2 RUE EMILIO CASTELAR Paris 12,48.82827465594386,2.323508438224159,"{""coordinates"": [2.374992552914202, 48.849193429689976], ""type"": ""Point""}","48.849193429689976, 2.374992552914202"
7,24 AV DU GENERAL MICHEL BIZOT Paris 12,48.85267681908483,2.290426216702328,"{""coordinates"": [2.3991726525318215, 48.83336364439897], ""type"": ""Point""}","48.83336364439897, 2.3991726525318215"
6, RUE DU GENERAL ARCHINARD Paris 12,48.88090719046253,2.299033620213159,"{""coordinates"": [2.4123581598654216, 48.838323244917426], ""type"": ""Point""}","48.838323244917426, 2.4123581598654216"
5,13 AV EMILE LAURENT Paris 12,48.879289878713166,2.287407585596586,"{""coordinates"": [2.4113508092028226, 48.84110502668145], ""type"": ""Point""}","48.84110502668145, 2.4113508092028226"
5,76 BD DE PICPUS Paris 12,48.84923271698432,2.345154060874607,"{""coordinates"": [2.3998639697603648, 48.84692988548166], ""type"": ""Point""}","48.84692988548166, 2.3998639697603648"
4,120 RUE DE LYON Paris 12,48.896867843249204,2.3168331092909797,"{""coordinates"": [2.3699756614057166, 48.851522823293074], ""type"": ""Point""}","48.851522823293074, 2.3699756614057166"
10,9 AV LAMORICIERE Paris 12,48.87987001812619,2.3314376376576385,"{""coordinates"": [2.4124210235657055, 48.84535937039966], ""type"": ""Point""}","48.84535937039966, 2.4124210235657055"
10,18 RUE HECTOR MALOT Paris 12,48.86266133742368,2.276641905297926,"{""coordinates"": [2.3765138404295922, 48.8465436621561], ""type"": ""Point""}","48.8465436621561, 2.3765138404295922"
10,2 RUE MESSIDOR Paris 12,48.843457518835066,2.346440912785134,"{""coordinates"": [2.4026425397969815, 48.8403332618631], ""type"": ""Point""}","48.8403332618631, 2.4026425397969815"
6,4 PL DU CARDINAL LAVIGERIE Paris 12,48.87672407795003,2.3417326097276345,"{""coordinates"": [2.4023847071961515, 48.833126477088626], ""type"": ""Point""}","48.833126477088626, 2.4023847071961515"
5,37 ALL VIVALDI Paris 12,48.87027418887178,2.2793884960716313,"{""coordinates"": [2.390181857057242, 48.84159250028973], ""type"": ""Point""}","48.84159250028973, 2.390181857057242"
6,104 AV DAUMESNIL Paris 12,48.88126629600431,2.328220179793675,"{""coordinates"": [2.3842261975997032, 48.84309879084361], ""type"": ""Point""}","48.84309879084361, 2.3842261975997032"
10,1 RTE DES FORTIFICATIONS Paris 12,48.85192492011566,2.383525844293259,"{""coordinates"": [2.399856122933394, 48.83089174364892], ""type"": ""Point""}","48.83089174364892, 2.399856122933394"
6,20 RUE LACUEE Paris 12,48.88939186989186,2.3376413033489283,"{""coordinates"": [2.370600100799706, 48.84917548474973], ""type"": ""Point""}","48.84917548474973, 2.370600100799706"
5,21 RUE MONTERA Paris 12,48.848673225082834,2.404311257176606,"{""coordinates"": [2.409465911656687, 48.84551974377019], ""type"": ""Point""}","48.84551974377019, 2.409465911656687"
10,251 AV DAUMESNIL Paris 12,48.871114565825174,2.372527047994356,"{""coordinates"": [2.40177970273536, 48.83740034811633], ""type"": ""Point""}","48.83740034811633, 2.40177970273536"
5,1 RUE GOSSEC Paris 12,48.85212888950854,2.3740286615978663,"{""coordinates"": [2.399991735928255, 48.83825804865059], ""type"": ""Point""}","48.83825804865059, 2.399991735928255"
5,31 RUE CROZATIER Paris 12,48.84679006504572,2.3995419639311617,"{""coordinates"": [2.381502685419792, 48.84695579214515], ""type"": ""Point""}","48.84695579214515, 2.381502685419792"
5,1 RUE MARSOULAN Paris 12,48.87241313090315,2.324796098909088,"{""coordinates"": [2.402650008077159, 48.845138910741525], ""type"": ""Point""}","48.845138910741525, 2.402650008077159"
5,21 RUE MONTERA Paris 12,48.87002729482382,2.295847109714548,"{""coordinates"": [2.4094313002339405, 48.84550463912949], ""type"": ""Point""}","48.84550463912949, 2.4094313002339405"
5,14 RUE DE WATTIGNIES Paris 12,48.83790769814273,2.343828529673914,"{""coordinates"": [2.3933089619690664, 48.83655005359648], ""type"": ""Point""}","48.83655005359648, 2.3933089619690664"
6,32 AV DE SAINT-MANDE Paris 12,48.87786364835316,2.337443185585633,"{""coordinates"": [2.4000248514877036, 48.845057117371596], ""type"": ""Point""}","48.845057117371596, 2.4000248514877036"
2,7 RUE GERTY ARCHIMEDE Paris 12,48.889256160225194,2.2975977158836245,"{""coordinates"": [2.388083708629255, 48.835706587925735], ""type"": ""Point""}","48.835706587925735, 2.388083708629255"
4,2 RUE DES PIROGUES DE BERCY Paris 12,48.8634565444368,2.3645027412032755,"{""coordinates"": [2.3855600522447924, 48.83165295200413], ""type"": ""Point""}","48.83165295200413, 2.3855600522447924"
4,2 RUE DE CHABLIS Paris 12,48.831897258913166,2.3176343406458795,"{""coordinates"": [2.3846550881861273, 48.83606722190629], ""type"": ""Point""}","48.83606722190629, 2.3846550881861273"
4,33 RUE DU SAHEL Paris 12,48.87649129450508,2.3996369414232226,"{""coordinates"": [2.404962103856876, 48.840897309727744], ""type"": ""Point""}","48.840897309727744, 2.404962103856876"
10,4 PL DE LA NATION Paris 12,48.85676607172766,2.3200992282285595,"{""coordinates"": [2.394469716009527, 48.84806230426285], ""type"": ""Point""}","48.84806230426285, 2.394469716009527"
8,1 AV DU GENERAL DODDS Paris 12,48.85589028217834,2.3032742668285144,"{""coordinates"": [2.4049224532831595, 48.834182727115554], ""type"": ""Point""}","48.834182727115554, 2.4049224532831595"
5,52 RUE ANTOINE-JULIEN HENARD Paris 12,48.820563440715304,2.359804586596994,"{""coordinates"": [2.391121200822764, 48.8432072970912], ""type"": ""Point""}","48.8432072970912, 2.391121200822764"
