Régime prioritaire,Régime particulier,Nombre total de vélos,Arrondissement,Adr_emplacement,latitude,longitude
2 ROUES,Vélos,10,12,1 RUE DE WATTIGNIES Paris 12,48.87998869577333,2.350977756185022
2 ROUES,Vélos,10,3,19 RUE MESLAY Paris 3,48.880333911262916,2.3510712629691475
2 ROUES,Vélos,8,3,10 RUE GRENETA Paris 3,48.84320964556636,2.2860980433140417
2 ROUES,Vélos,10,3,3 RUE DU BOURG L'ABBE Paris 3,48.83253704040187,2.368542471738317
2 ROUES,Vélos,14,5,18 AV DE L' OBSERVATOIRE Paris 5,48.871109292040266,2.354980278575813
2 ROUES,Vélos,11,12,80 RUE TRAVERSIERE Paris 12,48.853530510712595,2.3508002653367392
2 ROUES,Vélos,6,7, AV DE BRETEUIL Paris 7,48.88141695950329,2.38034976919262
2 ROUES,Vélos,22,14,3 AV DU GENERAL LECLERC Paris 14,48.81933529605865,2.363432019209428
2 ROUES,Vélos,16,14,122 AV DU GENERAL LECLERC Paris 14,48.890090329583145,2.312452892122868
2 ROUES,Vélos,10,20,29 AV GAMBETTA Paris 20,48.837255961847575,2.2844418310456183
2 ROUES,Vélos,10,20,4 PL AUGUSTE METIVIER Paris 20,48.87123201503903,2.3441193198304555
2 ROUES,Vélos,8,5,75 RUE SAINT-JACQUES Paris 5,48.87115261200531,2.344886189414897
2 ROUES,Vélos,10,6,7 RUE DE MEZIERES Paris 6,48.8707657469493,2.3469017929724525
2 ROUES,Vélos,14,8,35 PL DE LA MADELEINE Paris 8,48.878272850127836,2.3741407891064124
2 ROUES,Vélos,18,5,271 RUE SAINT-JACQUES Paris 5,48.863629910940425,2.370902476916505
2 ROUES,Vélos,2,20,5 RUE HARPIGNIES Paris 20,48.84818455182324,2.31313584639868
2 ROUES,Vélos,8,3,49 RUE DE BRETAGNE Paris 3,48.87766905945684,2.3744575614828562
2 ROUES,Vélos,4,17,13 BD D' AURELLE DE PALADINES Paris 17,48.87617689312694,2.379480105808276
2 ROUES,Vélos,8,18,155 RUE LAMARCK Paris 18,48.84697525297925,2.3740614165255574
2 ROUES,Vélos,12,5,49 BD SAINT-MICHEL Paris 5,48.84690183360031,2.373534526322597
